Code;Nom;Lien
HA;Home Activity;https://lov.linkeddata.es/dataset/lov/vocabs/ha
HW;Météo a domicile;https://lov.linkeddata.es/dataset/lov/vocabs/hw?fbclid=IwAR2Fy_vbCQFN--osQjK0w92bRGTjMOPPYKu_u1nW54dyGh-pCfrdXTOG0YY
dogont ;Modélisation d'ontologie pour les environnements domotiques intelligents ;https://lov.linkeddata.es/dataset/lov/vocabs/dogont
OPM;Ontologie pour la gestion immobiliére; https://lov.linkeddata.es/dataset/lov/vocabs/opm?fbclid=IwAR0AbYGnWO1nn-zWkzTPnnAPxkrOPR1NyRUwhzCHH708GFJwLO0EYj4Zkus
